symbol,price,low_52w,usd_mcap,pct_from_low,time
JUBLFOOD.NS,541.5499877929688,540.5999755859375,3.9523497050112,1.0017573293561501,2026-01-05 01:41:38.391723
TATACHEM.NS,746.4000244140625,745.0,2.110665916416,1.001879227401426,2026-01-05 01:46:18.747958
JUBLFOOD.NS,540.0,539.4500122070312,3.9410375000064,1.0010195343044272,2026-01-05 02:27:09.714701
TATACHEM.NS,747.0999755859375,745.0,2.1126453067776,1.0028187591757551,2026-01-05 02:31:59.416884
TATACHEM.NS,746.4500122070312,745.0,2.1108074053632,1.001946325110109,2026-01-05 03:18:02.512549
TATACHEM.NS,746.4500122070312,745.0,2.1108074053632,1.001946325110109,2026-01-05 04:03:24.494184
TATACHEM.NS,746.4500122070312,745.0,2.1108074053632,1.001946325110109,2026-01-05 04:48:48.603873
TATACHEM.NS,746.4500122070312,745.0,2.1108074053632,1.001946325110109,2026-01-05 05:33:54.206998
TATACHEM.NS,746.4500122070312,745.0,2.1108074053632,1.001946325110109,2026-01-05 06:19:25.409069
TATACHEM.NS,746.4500122070312,745.0,2.1108074053632,1.001946325110109,2026-01-05 07:05:06.600669
TATACHEM.NS,746.4500122070312,745.0,2.1108074053632,1.001946325110109,2026-01-05 07:52:43.453327
GFL.TO,58.56999969482422,58.25,15.404491554816,1.0054935569926904,2026-01-05 08:02:03.411046
TATACHEM.NS,746.4500122070312,745.0,2.1108074053632,1.001946325110109,2026-01-05 08:49:55.215642
GFL.TO,58.349998474121094,58.25,15.34662950912,1.001716712002079,2026-01-05 09:00:27.619715
TATACHEM.NS,746.4500122070312,745.0,2.1108074053632,1.001946325110109,2026-01-05 09:47:49.330536
TATACHEM.NS,746.4500122070312,745.0,2.1108074053632,1.001946325110109,2026-01-05 10:36:08.112306
BLUECHIP.NS,3.03,3.03,1.0,5.1951096968681965,2026-01-05 11:15:57.168863
JUBLFOOD.NS,539.05,536.5,1.0047530288909599,1.2294073229054518,2026-01-05 11:16:37.655362
KAKATCEM.NS,124.99,124.15,1.0067660088602497,7.4828069935333765,2026-01-05 11:16:37.883519
LUXIND.NS,1077.0,1068.0,1.0084269662921348,2.2040018262994083,2026-01-05 11:16:44.518096
MITTAL.NS,1.11,1.11,1.0,1.0194218846544822,2026-01-05 11:16:51.353793
NOCIL.NS,148.78,148.3,1.0032366824005394,2.5397707109521437,2026-01-05 11:16:58.266725
VIVIDHA.NS,0.6,0.6,1.0,2.1002106103993823,2026-01-05 11:17:45.285140
BLUECHIP.NS,3.03,3.03,1.0,5.1951096968681965,2026-01-05 11:33:37.755420
JUBLFOOD.NS,539.05,536.5,1.0047530288909599,1.2294073229054518,2026-01-05 11:34:16.026458
KAKATCEM.NS,124.99,124.15,1.0067660088602497,7.4828069935333765,2026-01-05 11:34:16.107433
LUXIND.NS,1077.0,1068.0,1.0084269662921348,2.2040018262994083,2026-01-05 11:34:22.849928
MITTAL.NS,1.11,1.11,1.0,1.0194218846544822,2026-01-05 11:34:28.245078
NOCIL.NS,148.78,148.3,1.0032366824005394,2.5397707109521437,2026-01-05 11:34:35.627687
VIVIDHA.NS,0.6,0.6,1.0,2.1002106103993823,2026-01-05 11:35:18.473329
