ticker,company_name,market_cap_category
NEWGEN.NSE,Newgen Software Technologies Limited,Small Cap
NFL.NSE,National Fertilizers Limited,Small Cap
NH.NSE,Narayana Hrudayalaya Limited,Small Cap
NIITLTD.NSE,NIIT Limited,Small Cap
NILKAMAL.NSE,Nilkamal Limited,Small Cap
NLCINDIA.NSE,NLC India Limited,Small Cap
NOCIL.NSE,NOCIL Limited,Small Cap
OAL.NSE,Oriental Aromatics Limited,Small Cap
OIL.NSE,Oil India Limited,Small Cap
ONELIFECAP.NSE,one,Small Cap
ONEPOINT.NSE,one,Small Cap
ORCHPHARMA.NSE,Orchid Pharma Limited,Small Cap
ORIENTCEM.NSE,Orient Cement Limited,Small Cap
ORIENTELEC.NSE,Orient Electric Limited,Small Cap
ORIENTREF.NSE,Orient Refractories Limited,Small Cap
PAISALO.NSE,Paisalo Digital Limited,Small Cap
PANACEABIO.NSE,Panacea Biotec Limited,Small Cap
PDSMFL.NSE,PDS Multinational Fashions Limited,Small Cap
PETRONET.NSE,one,Small Cap
PGHL.NSE,Procter & Gamble Health Limited,Small Cap
PHILIPCARB.NSE,Phillips Carbon Black Limited,Small Cap
PHOENIXLTD.NSE,The Phoenix Mills Limited,Small Cap
PIONDIST.NSE,one,Small Cap
PIONEEREMB.NSE,one,Small Cap
PNBHOUSING.NSE,PNB Housing Finance Limited,Small Cap
PNCINFRA.NSE,PNC Infratech Limited,Small Cap
POLYMED.NSE,Poly Medicure Limited,Small Cap
POLYPLEX.NSE,Polyplex Corporation Limited,Small Cap
POWERINDIA.NSE,ABB Power Products and Systems India Limited,Small Cap
PRAJIND.NSE,Praj Industries Limited,Small Cap
PRESTIGE.NSE,Prestige Estates Projects Limited,Small Cap
PRINCEPIPE.NSE,Prince Pipes and Fittings Limited,Small Cap
PRIVISCL.NSE,Privi Speciality Chemicals Limited,Small Cap
PROZONINTU.NSE,one,Small Cap
PRSMJOHNSN.NSE,Prism Johnson Limited,Small Cap
PSB.NSE,Punjab & Sind Bank,Small Cap
PTC.NSE,PTC India Limited,Small Cap
PVR.NSE,PVR Limited,Small Cap
QUESS.NSE,Quess Corp Limited,Small Cap
RADICO.NSE,Radico Khaitan Limited,Small Cap
RAILTEL.NSE,RailTel Corporation of India Limited,Small Cap
RAIN.NSE,Rain Industries Limited,Small Cap
RALLIS.NSE,Rallis India Limited,Small Cap
RAMCOIND.NSE,Ramco Industries Limited,Small Cap
RATNAMANI.NSE,Ratnamani Metals & Tubes Limited,Small Cap
RAYMOND.NSE,Raymond Limited,Small Cap
RBLBANK.NSE,RBL Bank Limited,Small Cap
RCF.NSE,Rashtriya Chemicals and Fertilizers Limited,Small Cap
REDINGTON.NSE,Redington (India) Limited,Small Cap
RELIGARE.NSE,Religare Enterprises Limited,Small Cap
RENUKA.NSE,Shree Renuka Sugars Limited,Small Cap
REPCOHOME.NSE,Repco Home Finance Limited,Small Cap
RESPONIND.NSE,Responsive Industries Limited,Small Cap
RITES.NSE,RITES Limited,Small Cap
ROSSARI.NSE,Rossari Biotech Limited,Small Cap
ROUTE.NSE,Route Mobile Limited,Small Cap
RPOWER.NSE,Reliance Power Limited,Small Cap
RTNPOWER.NSE,RattanIndia Power Limited,Small Cap
RUPA.NSE,Rupa & Company Limited,Small Cap
RVNL.NSE,Rail Vikas Nigam Limited,Small Cap
SAREGAMA.NSE,Saregama India Limited,Small Cap
SCHNEIDER.NSE,Schneider Electric Infrastructure Limited,Small Cap
SCI.NSE,The Shipping Corporation of India Limited,Small Cap
SEQUENT.NSE,Sequent Scientific Limited,Small Cap
SFL.NSE,Sheela Foam Limited,Small Cap
SHARDACROP.NSE,Sharda Cropchem Limited,Small Cap
SHIL.NSE,Somany Home Innovation Limited,Small Cap
SHILPAMED.NSE,Shilpa Medicare Limited,Small Cap
SHOPERSTOP.NSE,Shoppers Stop Limited,Small Cap
SHRIRAMCIT.NSE,Shriram City Union Finance Limited,Small Cap
SIS.NSE,SIS Limited,Small Cap
SJVN.NSE,SJVN Limited,Small Cap
SKFINDIA.NSE,SKF India Limited,Small Cap
SOBHA.NSE,Sobha Limited,Small Cap
SOLARA.NSE,Solara Active Pharma Sciences Limited,Small Cap
SOLARINDS.NSE,Solar Industries India Limited,Small Cap
SONATSOFTW.NSE,Sonata Software Limited,Small Cap
SPANDANA.NSE,Spandana Sphoorty Financial Limited,Small Cap
SPARC.NSE,Sun Pharma Advanced Research Company Limited,Small Cap
SPICEJET.NSE,SpiceJet Limited,Small Cap
STAR.NSE,Strides Pharma Science Limited,Small Cap
STARCEMENT.NSE,Star Cement Limited,Small Cap
STLTECH.NSE,Sterlite Technologies Limited,Small Cap
SUBEXLTD.NSE,Subex Limited,Small Cap
SUDARSCHEM.NSE,Sudarshan Chemical Industries Limited,Small Cap
SUNCLAYLTD.NSE,Sundaram-Clayton Limited,Small Cap
SUNDRMFAST.NSE,Sundram Fasteners Limited,Small Cap
SUNTECK.NSE,Sunteck Realty Limited,Small Cap
SUPPETRO.NSE,Supreme Petrochem Limited,Small Cap
SUPRAJIT.NSE,Suprajit Engineering Limited,Small Cap
SURYAROSNI.NSE,Surya Roshni Limited,Small Cap
SURYODAY.NSE,Suryoday Small Finance Bank Limited,Small Cap
SUVENPHAR.NSE,Suven Pharmaceuticals Limited,Small Cap
SUZLON.NSE,Suzlon Energy Limited,Small Cap
SWANENERGY.NSE,Swan Energy Limited,Small Cap
SWSOLAR.NSE,Sterling and Wilson Solar Limited,Small Cap
SYMPHONY.NSE,Symphony Limited,Small Cap
TALBROAUTO.NSE,one,Small Cap
TANLA.NSE,Tanla Platforms Limited,Small Cap
TASTYBITE.NSE,Tasty Bite Eatables Limited,Small Cap
TATACOFFEE.NSE,Tata Coffee Limited,Small Cap
TATAINVEST.NSE,Tata Investment Corporation Limited,Small Cap
TATAMETALI.NSE,Tata Metaliks Limited,Small Cap
TATASTLBSL.NSE,Tata Steel BSL Limited,Small Cap
TATASTLLP.NSE,Tata Steel Long Products Limited,Small Cap
TCI.NSE,Transport Corporation of India Limited,Small Cap
TCIEXP.NSE,TCI Express Limited,Small Cap
TCNSBRANDS.NSE,TCNS Clothing Co. Limited,Small Cap
TEAMLEASE.NSE,TeamLease Services Limited,Small Cap
TECHNOE.NSE,Techno Electric & Engineering Company Limited,Small Cap
THOMASCOOK.NSE,Thomas Cook (India) Limited,Small Cap
THYROCARE.NSE,Thyrocare Technologies Limited,Small Cap
TIMKEN.NSE,Timken India Limited,Small Cap
TINPLATE.NSE,The Tinplate Company of India Limited,Small Cap
TRIDENT.NSE,Trident Limited,Small Cap
TRITURBINE.NSE,Triveni Turbine Limited,Small Cap
TRIVENI.NSE,Triveni Engineering & Industries Limited,Small Cap
TTKPRESTIG.NSE,TTK Prestige Limited,Small Cap
TTML.NSE,Tata Teleservices (Maharashtra) Limited,Small Cap
TV18BRDCST.NSE,TV18 Broadcast Limited,Small Cap
UCOBANK.NSE,UCO Bank,Small Cap
UFLEX.NSE,Uflex Limited,Small Cap
UJJIVAN.NSE,Ujjivan Financial Services Limited,Small Cap
UJJIVANSFB.NSE,Ujjivan Small Finance Bank Limited,Small Cap
UNICHEMLAB.NSE,Unichem Laboratories Limited,Small Cap
VAIBHAVGBL.NSE,Vaibhav Global Limited,Small Cap
VAKRANGEE.NSE,Vakrangee Limited,Small Cap
VALIANTORG.NSE,Valiant Organics Limited,Small Cap
VARROC.NSE,Varroc Engineering Limited,Small Cap
VENKEYS.NSE,Venky's (India) Limited,Small Cap
VGUARD.NSE,V-Guard Industries Limited,Small Cap
VIPIND.NSE,VIP Industries Limited,Small Cap
VMART.NSE,V-Mart Retail Limited,Small Cap
VRLLOG.NSE,VRL Logistics Limited,Small Cap
VSTIND.NSE,VST Industries Limited,Small Cap
VTL.NSE,Vardhman Textiles Limited,Small Cap
WABCOINDIA.NSE,WABCO India Limited,Small Cap
WELCORP.NSE,Welspun Corp Limited,Small Cap
WELSPUNIND.NSE,Welspun India Limited,Small Cap
WESTLIFE.NSE,Westlife Development Limited,Small Cap
WOCKPHARMA.NSE,Wockhardt Limited,Small Cap
ZENSARTECH.NSE,Zensar Technologies Limited,Small Cap
ZYDUSWELL.NSE,Zydus Wellness Limited,Small Cap
