ticker,company_name,market_cap_category
DALBHARAT.NSE,Dalmia Bharat Limited,Mid Cap
DEEPAKNTR.NSE,Deepak Nitrite Limited,Mid Cap
DIXON.NSE,Dixon Technologies (India) Limited,Mid Cap
EMAMILTD.NSE,Emami Limited,Mid Cap
ENDURANCE.NSE,Endurance Technologies Limited,Mid Cap
ESCORTS.NSE,Escorts Limited,Mid Cap
EXIDEIND.NSE,Exide Industries Limited,Mid Cap
FEDERALBNK.NSE,The Federal Bank Limited,Mid Cap
FORTIS.NSE,Fortis Healthcare Limited,Mid Cap
GAIL.NSE,GAIL (India) Limited,Mid Cap
GICRE.NSE,General Insurance Corporation of India,Mid Cap
GILLETTE.NSE,Gillette India Limited,Mid Cap
GLAND.NSE,Gland Pharma Limited,Mid Cap
GLAXO.NSE,GlaxoSmithKline Pharmaceuticals Limited,Mid Cap
GLENMARK.NSE,Glenmark Pharmaceuticals Limited,Mid Cap
GMRINFRA.NSE,GMR Infrastructure Limited,Mid Cap
GODREJIND.NSE,Godrej Industries Limited,Mid Cap
GODREJPROP.NSE,Godrej Properties Limited,Mid Cap
GUJGASLTD.NSE,Gujarat Gas Limited,Mid Cap
HAL.NSE,Hindustan Aeronautics Limited,Mid Cap
HATSUN.NSE,Hatsun Agro Product Limited,Mid Cap
HAVELLS.NSE,Havells India Limited,Mid Cap
HDFCAMC.NSE,HDFC Asset Management Company Limited,Mid Cap
HEROMOTOCO.NSE,Hero MotoCorp Limited,Mid Cap
HINDCOPPER.NSE,Hindustan Copper Limited,Mid Cap
HINDPETRO.NSE,Hindustan Petroleum Corporation Limited,Mid Cap
ICICIGI.NSE,ICICI Lombard General Insurance Company Limited,Mid Cap
IDBI.NSE,IDBI Bank Limited,Mid Cap
IGL.NSE,Indraprastha Gas Limited,Mid Cap
INDHOTEL.NSE,The Indian Hotels Company Limited,Mid Cap
INDIAMART.NSE,IndiaMART InterMESH Limited,Mid Cap
INDIANB.NSE,Indian Bank,Mid Cap
INDIGO.NSE,InterGlobe Aviation Limited,Mid Cap
INDUSTOWER.NSE,Indus Towers Limited,Mid Cap
IOB.NSE,Indian Overseas Bank,Mid Cap
IPCALAB.NSE,Ipca Laboratories Limited,Mid Cap
IRCTC.NSE,Indian Railway Catering & Tourism Corporation Limited,Mid Cap
IRFC.NSE,Indian Railway Finance Corporation Limited,Mid Cap
ISEC.NSE,ICICI Securities Limited,Mid Cap
JINDALSTEL.NSE,Jindal Steel & Power Limited,Mid Cap
JKCEMENT.NSE,J.K. Cement Limited,Mid Cap
JSWENERGY.NSE,JSW Energy Limited,Mid Cap
JUBLFOOD.NSE,Jubilant FoodWorks Limited,Mid Cap
KAJARIACER.NSE,Kajaria Ceramics Limited,Mid Cap
KANSAINER.NSE,Kansai Nerolac Paints Limited,Mid Cap
KIOCL.NSE,KIOCL Limited,Mid Cap
LALPATHLAB.NSE,Dr. Lal PathLabs Limited,Mid Cap
LAURUSLABS.NSE,Laurus Labs Limited,Mid Cap
LICHSGFIN.NSE,LIC Housing Finance Limited,Mid Cap
LODHA.NSE,Macrotech Developers Limited,Mid Cap
LTI.NSE,Larsen & Toubro Infotech Limited,Mid Cap
LTTS.NSE,L&T Technology Services Limited,Mid Cap
LUPIN.NSE,Lupin Limited,Mid Cap
M&MFIN.NSE,Mahindra & Mahindra Financial Services Limited,Mid Cap
MAHABANK.NSE,Bank of Maharashtra,Mid Cap
MARICO.NSE,Marico Limited,Mid Cap
MAXHEALTH.NSE,Max Healthcare Institute Limited,Mid Cap
MCDOWELL-N.NSE,United Spirits Limited,Mid Cap
MINDAIND.NSE,Minda Industries Limited,Mid Cap
MINDTREE.NSE,Mindtree Limited,Mid Cap
MPHASIS.NSE,Mphasis Limited,Mid Cap
MRF.NSE,MRF Limited,Mid Cap
MUTHOOTFIN.NSE,Muthoot Finance Limited,Mid Cap
NATCOPHARM.NSE,NATCO Pharma Limited,Mid Cap
NAUKRI.NSE,Info Edge (India) Limited,Mid Cap
NAVINFLUOR.NSE,Navin Fluorine International Limited,Mid Cap
NHPC.NSE,NHPC Limited,Mid Cap
NIACL.NSE,The New India Assurance Company Limited,Mid Cap
NMDC.NSE,NMDC Limited,Mid Cap
OBEROIRLTY.NSE,Oberoi Realty Limited,Mid Cap
OFSS.NSE,Oracle Financial Services Software Limited,Mid Cap
PAGEIND.NSE,Page Industries Limited,Mid Cap
PEL.NSE,Piramal Enterprises Limited,Mid Cap
PERSISTENT.NSE,Persistent Systems Limited,Mid Cap
PFC.NSE,Power Finance Corporation Limited,Mid Cap
PFIZER.NSE,Pfizer Limited,Mid Cap
PGHH.NSE,Procter & Gamble Hygiene and Health Care Limited,Mid Cap
PIIND.NSE,PI Industries Limited,Mid Cap
PNB.NSE,Punjab National Bank,Mid Cap
POLYCAB.NSE,Polycab India Limited,Mid Cap
RAJESHEXPO.NSE,Rajesh Exports Limited,Mid Cap
RAMCOCEM.NSE,The Ramco Cements Limited,Mid Cap
RECLTD.NSE,REC Limited,Mid Cap
RELAXO.NSE,Relaxo Footwears Limited,Mid Cap
RUCHI.NSE,Ruchi Soya Industries Limited,Mid Cap
SAIL.NSE,Steel Authority of India Limited,Mid Cap
SCHAEFFLER.NSE,Schaeffler India Limited,Mid Cap
SIEMENS.NSE,Siemens Limited,Mid Cap
SRF.NSE,SRF Limited,Mid Cap
SRTRANSFIN.NSE,Shriram Transport Finance Company Limited,Mid Cap
SUMICHEM.NSE,Sumitomo Chemical India Limited,Mid Cap
SUNDARMFIN.NSE,Sundaram Finance Limited,Mid Cap
SUPREMEIND.NSE,The Supreme Industries Limited,Mid Cap
SYNGENE.NSE,Syngene International Limited,Mid Cap
TATACHEM.NSE,Tata Chemicals Limited,Mid Cap
TATACOMM.NSE,Tata Communications Limited,Mid Cap
TATACONSUM.NSE,Tata Consumer Products Limited,Mid Cap
TATAELXSI.NSE,Tata Elxsi Limited,Mid Cap
TATAPOWER.NSE,The Tata Power Company Limited,Mid Cap
THERMAX.NSE,Thermax Limited,Mid Cap
TIINDIA.NSE,Tube Investments of India Limited,Mid Cap
TORNTPHARM.NSE,Torrent Pharmaceuticals Limited,Mid Cap
TORNTPOWER.NSE,Torrent Power Limited,Mid Cap
TRENT.NSE,Trent Limited,Mid Cap
TVSMOTOR.NSE,TVS Motor Company Limited,Mid Cap
UBL.NSE,United Breweries Limited,Mid Cap
UNIONBANK.NSE,Union Bank of India,Mid Cap
UPL.NSE,UPL Limited,Mid Cap
VBL.NSE,Varun Beverages Limited,Mid Cap
VINATIORGA.NSE,Vinati Organics Limited,Mid Cap
VOLTAS.NSE,Voltas Limited,Mid Cap
WHIRLPOOL.NSE,Whirlpool of India Limited,Mid Cap
YESBANK.NSE,Yes Bank Limited,Mid Cap
ZEEL.NSE,Zee Entertainment Enterprises Limited,Mid Cap
AARTIDRUGS.NSE,Aarti Drugs Limited,Small Cap
ADANIPORTS.NSE,one,Small Cap
ADVENZYMES.NSE,Advanced Enzyme Technologies Limited,Small Cap
AEGISCHEM.NSE,Aegis Logistics Limited,Small Cap
AFFLE.NSE,Affle (India) Limited,Small Cap
AKZOINDIA.NSE,Akzo Nobel India Limited,Small Cap
ALEMBICLTD.NSE,Alembic Limited,Small Cap
ALKYLAMINE.NSE,Alkyl Amines Chemicals Limited,Small Cap
ALLCARGO.NSE,Allcargo Logistics Limited,Small Cap
ALOKINDS.NSE,Alok Industries Limited,Small Cap
AMARAJABAT.NSE,Amara Raja Batteries Limited,Small Cap
AMBER.NSE,Amber Enterprises India Limited,Small Cap
ANGELBRKG.NSE,Angel Broking Limited,Small Cap
ANURAS.NSE,Anupam Rasayan India Limited,Small Cap
ARVIND.NSE,Arvind Limited,Small Cap
ASAHIINDIA.NSE,Asahi India Glass Limited,Small Cap
ASHOKA.NSE,Ashoka Buildcon Limited,Small Cap
ASTEC.NSE,Astec LifeSciences Limited,Small Cap
ASTERDM.NSE,Aster DM Healthcare Limited,Small Cap
ASTRAZEN.NSE,AstraZeneca Pharma India Limited,Small Cap
ATFL.NSE,Agro Tech Foods Limited,Small Cap
AVANTIFEED.NSE,Avanti Feeds Limited,Small Cap
BAJAJCON.NSE,Bajaj Consumer Care Limited,Small Cap
BAJAJELEC.NSE,Bajaj Electricals Limited,Small Cap
BALAMINES.NSE,Balaji Amines Limited,Small Cap
BALMLAWRIE.NSE,Balmer Lawrie & Co. Ltd.,Small Cap
BALRAMCHIN.NSE,Balrampur Chini Mills Limited,Small Cap
BANARISUG.NSE,Bannari Amman Sugars Limited,Small Cap
BARBEQUE.NSE,Barbeque Nation Hospitality Ltd.,Small Cap
BASF.NSE,BASF India Limited,Small Cap
BBTC.NSE,The Bombay Burmah Trading Corporation, Limited,Small Cap
BDL.NSE,Bharat Dynamics Limited,Small Cap
BECTORFOOD.NSE,Mrs. Bectors Food Specialities Limited,Small Cap
BEML.NSE,BEML Limited,Small Cap
BEPL.NSE,Bhansali Engineering Polymers Limited,Small Cap
BHARATRAS.NSE,Bharat Rasayan Limited,Small Cap
BIRLACORPN.NSE,Birla Corporation Limited,Small Cap
BIRLAMONEY.NSE,one,Small Cap
BLUEDART.NSE,Blue Dart Express Limited,Small Cap
BLUESTARCO.NSE,Blue Star Limited,Small Cap
BOROLTD.NSE,Borosil Limited,Small Cap
BORORENEW.NSE,Borosil Renewables Limited,Small Cap
BRIGADE.NSE,Brigade Enterprises Limited,Small Cap
BSE.NSE,BSE Limited,Small Cap
BSOFT.NSE,Birlasoft Limited,Small Cap
BURGERKING.NSE,Burger King India Limited,Small Cap
CAMS.NSE,Computer Age Management Services Limited,Small Cap
CANFINHOME.NSE,Can Fin Homes Limited,Small Cap
CAPLIPOINT.NSE,Caplin Point Laboratories Limited,Small Cap
CARBORUNIV.NSE,Carborundum Universal Limited,Small Cap
CASTROLIND.NSE,Castrol India Limited,Small Cap
CCL.NSE,CCL Products (India) Limited,Small Cap
CDSL.NSE,Central Depository Services (India) Limited,Small Cap
CEATLTD.NSE,CEAT Limited,Small Cap
CENTRALBK.NSE,Central Bank of India,Small Cap
CENTURYPLY.NSE,Century Plyboards (India) Limited,Small Cap
CENTURYTEX.NSE,Century Textiles and Industries Limited,Small Cap
CERA.NSE,Cera Sanitaryware Limited,Small Cap
CESC.NSE,CESC Limited,Small Cap
CGCL.NSE,Capri Global Capital Limited,Small Cap
CGPOWER.NSE,CG Power and Industrial Solutions Limited,Small Cap
CHALET.NSE,Chalet Hotels Limited,Small Cap
CHAMBLFERT.NSE,Chambal Fertilisers and Chemicals Limited,Small Cap
CHOLAHLDNG.NSE,Cholamandalam Financial Holdings Limited,Small Cap
COCHINSHIP.NSE,Cochin Shipyard Limited,Small Cap
CRAFTSMAN.NSE,Craftsman Automation Limited,Small Cap
CREDITACC.NSE,CreditAccess Grameen Limited,Small Cap
CSBBANK.NSE,CSB Bank Limited,Small Cap
CUB.NSE,City Union Bank Ltd.,Small Cap
CYIENT.NSE,Cyient Limited,Small Cap
DAAWAT.NSE,LT Foods Limited,Small Cap
DALMIASUG.NSE,Dalmia Bharat Sugar and Industries Limited,Small Cap
DBL.NSE,Dilip Buildcon Limited,Small Cap
DCAL.NSE,Dishman Carbogen Amcis Limited,Small Cap
DCBBANK.NSE,DCB Bank Limited,Small Cap
DCMSHRIRAM.NSE,DCM Shriram Limited,Small Cap
DEEPAKFERT.NSE,Deepak Fertilisers And Petrochemicals Corporation Limited,Small Cap
DELTACORP.NSE,Delta Corp Limited,Small Cap
DHAMPURSUG.NSE,Dhampur Sugar Mills Limited,Small Cap
DHANI.NSE,Dhani Services Limited,Small Cap
DHANUKA.NSE,Dhanuka Agritech Limited,Small Cap
DONEAR.NSE,one,Small Cap
EASEMYTRIP.NSE,Easy Trip Planners Limited,Small Cap
EBIXFOREX.NSE,one,Small Cap
ECLERX.NSE,eClerx Services Limited,Small Cap
EDELWEISS.NSE,Edelweiss Financial Services Limited,Small Cap
EIDPARRY.NSE,E.I.D.- Parry (India) Limited,Small Cap
EIHOTEL.NSE,EIH Limited,Small Cap
ELGIEQUIP.NSE,ELGI Equipments Limited,Small Cap
ENGINERSIN.NSE,Engineers India Limited,Small Cap
EPL.NSE,EPL Limited,Small Cap
EQUITAS.NSE,Equitas Holdings Limited,Small Cap
EQUITASBNK.NSE,Equitas Small Finance Bank Limited,Small Cap
ERIS.NSE,Eris Lifesciences Limited,Small Cap
ESABINDIA.NSE,ESAB India Limited,Small Cap
EVEREADY.NSE,Eveready Industries India Limited,Small Cap
FACT.NSE,The Fertilisers And Chemicals Travancore Limited,Small Cap
FDC.NSE,FDC Limited,Small Cap
FINCABLES.NSE,Finolex Cables Limited,Small Cap
FINEORG.NSE,Fine Organic Industries Limited,Small Cap
FINPIPE.NSE,Finolex Industries Limited,Small Cap
FLUOROCHEM.NSE,Gujarat Fluorochemicals Limited,Small Cap
FRETAIL.NSE,Future Retail Limited,Small Cap
FSL.NSE,Firstsource Solutions Limited,Small Cap
GAEL.NSE,Gujarat Ambuja Exports Limited,Small Cap
GALAXYSURF.NSE,Galaxy Surfactants Limited,Small Cap
GARFIBRES.NSE,Garware Technical Fibres Limited,Small Cap
GDL.NSE,Gateway Distriparks Limited,Small Cap
GESHIP.NSE,The Great Eastern Shipping Company Limited,Small Cap
GHCL.NSE,GHCL Limited,Small Cap
GMDCLTD.NSE,Gujarat Mineral Development Corporation Limited,Small Cap
GMMPFAUDLR.NSE,GMM Pfaudler Limited,Small Cap
GNFC.NSE,Gujarat Narmada Valley Fertilizers & Chemicals Limited,Small Cap
GODFRYPHLP.NSE,Godfrey Phillips India Limited,Small Cap
GODREJAGRO.NSE,Godrej Agrovet Limited,Small Cap
GPIL.NSE,Godawari Power & Ispat Limited,Small Cap
GPPL.NSE,Gujarat Pipavav Port Limited,Small Cap
GRANULES.NSE,Granules India Limited,Small Cap
GRAPHITE.NSE,Graphite India Limited,Small Cap
GREAVESCOT.NSE,Greaves Cotton Limited,Small Cap
GREENLAM.NSE,Greenlam Industries Limited,Small Cap
GREENPANEL.NSE,Greenpanel Industries Limited,Small Cap
GREENPLY.NSE,Greenply Industries Limited,Small Cap
GRINDWELL.NSE,Grindwell Norton Limited,Small Cap
GRSE.NSE,Garden Reach Shipbuilders & Engineers Limited,Small Cap
GSFC.NSE,Gujarat State Fertilizers & Chemicals Limited,Small Cap
GSPL.NSE,one,Small Cap
GUJALKALI.NSE,Gujarat Alkalies and Chemicals Limited,Small Cap
GULFOILLUB.NSE,Gulf Oil Lubricants India Limited,Small Cap
HAPPSTMNDS.NSE,Happiest Minds Technologies Limited,Small Cap
HATHWAY.NSE,Hathway Cable and Datacom Limited,Small Cap
HCG.NSE,HealthCare Global Enterprises Limited,Small Cap
HEG.NSE,HEG Limited,Small Cap
HEIDELBERG.NSE,HeidelbergCement India Limited,Small Cap
HEMIPROP.NSE,Hemisphere Properties India Limited,Small Cap
HERANBA.NSE,Heranba Industries Limited,Small Cap
